Value,Category,Question
$200 ,IN EXILE,"Porfirio Diaz seized power in this country in 1876, ruled for 35 years, fled in 1911 & died in exile"
$300 ,"LOCATION, LOCATION, LOCATION",There are only 31 states & 1 federal district in this North American country
$200 ,NATIONAL PARKS OF THE WORLD,"You can see this North American country's highest volcano, Volcan Citlaltepetl, in Pico de Orizaba National Park"
$400 ,TRAVEL,"The resort of Puerto Vallarta in this country lies on Banderas Bay, presumably not named for Antonio"
"$1,200 ",MILLION,"The ""3 Million Bill"" passed by Congress in 1847 appropriated $3 million for the purchase of land from this country"
"$1,000 ",VOLCANOES,"Paricutin Volcano in this country began in a farmer's field in 1943; within 6 days, it had a cinder cone 500 feet high"
$400 ,BEER COUNTRY OF ORIGIN,A cold Dos Equis or 2 might help get you through some of the hot nights in this country where it originated
"$1,000 ",INTERNATIONAL STARS,Salma Hayek
$800 ,WORLD HERITAGE SITES,The historic center of Zacatecas in this country is just steeped in heritage
$400 ,THE 19TH CENTURY,The 2-year war with this country from 1846-48 cost the U.S. almost $100 million
$400 ,TRAVEL & TOURISM,Fodor's says Americans stay in Ixtapa in this country because they can't pronounce Zihuatanejo
$200 ,CHEESY COUNTRIES,Anejo enchilado
$400 ,WORLD FACTS,Cuernavaca is the capital of this North American country's state of Morelos
$600 ,THE TRUTH ABOUT CATS & DOGS,"The xuloitzcuintli, resembling the Chihuahua, is the national dog of this country"
$200 ,4-Jul,"On July 4, 1982 Miguel de la Madrid Hurtado was elected president of this North American country"
$200 ,"COUNTRIES ON THE ""M""AP",In October 1996 its peso fell to 8 to a dollar
$400 ,1820s AMERICA,On 12/12/1822 the U.S. recognized the independence of this nation ruled by emperor Agustin de Iturbide
$400 ,LITERARY LOCALES,"""The Treasure of the Sierra Madre"" (1927)"
$400 ,THE COUGAR,The primary habitat of the subspecies Felis concolor azteca includes parts of the U.S. & this country
$200 ,HISTORICAL OPERAS,"Spontini's 1809 opera ""Fernand Cortez"" is also called ""The Conquest Of"" this country"
$400 ,"NORTH, CENTRAL & SOUTH AMERICAN LEADERS",President Felipe Calderon is the head honcho in this North American nation
$600 ,1840s AMERICA,In May 1846 the Senate voted 40-2 to declare war on this country
$400 ,THE MOST POPULOUS NATION,"Spain,  Mexico, Argentina"
$200 ,THE 19th CENTURY,"On Sept.16, 1810 Father Hidalgo's ""Cry of Dolores"" began a revolt in this country for independence from Spain"
$400 ,GEMS & JEWELRY,Many fine fire opals come from Queretaro in this North American country
