Year,Cleanshaven,Full Beard/Chinstrap,Goatee,Moustache,Moustache (with Muttonchops),Moustache (with Sideburns),Muttonchops,Sideburns
2008,127,20,11,1,0,0,1,43
2007,227,25,21,0,0,0,10,89
2006,236,18,26,1,0,0,6,66
2005,325,17,34,1,0,0,5,110
2004,353,17,61,1,0,0,6,91
2003,231,7,29,2,0,0,3,43
2002,232,6,28,2,0,0,4,52
2001,347,10,49,6,0,0,9,62
2000,536,50,22,9,0,1,4,107
1999,533,13,42,8,0,0,0,84
1998,579,9,32,3,0,1,1,85
1997,642,19,41,11,0,0,2,70
1996,626,18,21,12,0,0,3,59
1995,742,19,17,18,0,0,0,54
1994,994,19,7,31,0,0,1,40
1993,931,22,5,40,0,0,1,41
1992,803,25,3,28,0,0,0,16
1991,482,16,0,27,0,0,1,4
1990,461,15,0,59,0,0,0,3
1989,651,36,0,66,0,1,0,1
1988,650,40,0,108,0,0,0,2
1987,604,53,2,126,0,0,1,4
1986,691,64,1,154,0,5,0,3
1985,639,75,1,145,0,5,0,6
1984,587,123,2,195,2,13,3,26
1983,579,116,4,162,2,28,1,44
1982,563,162,4,168,4,35,6,47
1981,477,113,4,157,6,46,6,65
1980,312,133,0,104,11,60,10,96
1979,267,120,3,86,34,71,38,135
1978,273,161,4,100,42,85,54,158
1977,237,111,7,96,41,95,59,168
1976,168,119,8,56,59,73,71,163
1975,218,153,14,98,129,127,254,318
1974,161,166,18,56,204,107,420,303
1973,99,100,14,27,181,69,453,208
1972,215,120,35,40,171,67,453,289
1971,247,68,25,15,97,27,458,383
1970,432,52,23,12,41,24,302,472
1969,849,29,10,17,11,22,90,415
1968,1105,24,6,9,2,3,8,92
1967,1284,17,8,5,0,0,1,22
1966,1243,5,2,20,0,0,0,2
1965,1279,6,2,7,0,0,0,1
1964,1062,7,1,10,0,0,0,2
1963,965,2,0,4,0,0,0,0
1962,971,0,1,17,0,0,0,2
1961,912,2,1,5,0,0,0,1
1960,924,7,1,13,0,0,0,1
1959,947,7,1,10,0,0,0,1
1958,1024,3,0,17,0,0,0,0
1957,962,0,0,16,0,0,0,2
1956,931,0,0,21,0,0,0,1
1955,801,1,0,33,0,0,0,1
1954,833,1,1,32,0,0,0,0
1953,889,0,0,44,0,0,0,0
1952,987,1,0,52,0,0,0,2
1951,1111,0,0,83,0,0,0,0
1950,1380,3,0,116,0,1,0,1
1949,1357,0,1,127,0,0,0,0
1948,1044,0,0,103,0,0,0,0
1947,1429,1,0,74,0,0,0,0
1946,691,0,0,43,0,0,0,0
1945,721,0,0,40,0,0,0,0
1944,691,0,0,43,0,0,0,0
1943,735,0,0,44,0,0,0,0
1942,1183,0,0,47,0,0,0,0
1941,1283,0,0,51,0,0,0,1
1940,1279,0,0,65,0,0,0,0
1939,1418,0,0,94,0,0,0,1
1938,1282,0,0,57,0,0,0,0
1937,916,0,0,82,0,0,0,0
1936,846,0,0,89,0,0,0,0
1935,821,0,0,91,0,0,0,0
1934,932,0,0,103,0,0,1,1
1933,882,0,0,144,0,0,0,2
1932,885,0,0,123,0,0,0,3
1931,824,0,0,99,0,0,0,2
1930,781,0,0,78,0,0,0,0
1929,748,0,0,65,0,0,0,0
1928,805,0,0,52,0,0,0,0
1927,744,0,0,47,0,0,0,0
1926,772,0,0,47,0,0,0,0
1925,686,0,0,63,0,0,0,1
1924,885,0,0,102,0,0,0,2
1923,689,0,0,61,0,0,0,0
1922,640,0,0,47,0,0,0,0
1921,399,0,0,26,0,0,0,0
1920,305,0,0,15,0,0,0,0
1919,307,0,0,28,0,0,0,0
1918,423,0,0,16,0,0,0,0
1917,537,0,0,12,0,0,0,0
1916,544,0,0,8,0,0,0,0
1915,610,0,0,3,0,0,0,0
1914,474,0,0,2,0,0,0,0
1913,475,0,1,7,0,0,0,0
1912,467,0,0,1,0,0,0,0
1911,494,1,0,12,0,0,0,0
1910,455,0,0,11,0,0,0,0
1909,475,0,0,12,0,0,0,0
1908,414,0,0,15,0,0,0,0
1907,391,0,0,16,0,0,0,0
1906,362,0,0,28,0,0,0,0
1905,368,0,0,22,0,0,0,0
1904,319,1,0,38,0,0,0,0
1903,254,0,0,43,0,0,0,1
1902,259,0,0,58,0,1,0,0
1901,197,0,0,59,0,0,0,0
1900,230,2,0,70,0,0,1,0
1899,173,2,0,80,1,0,1,2
